[25 Feb 2022, 6:11:25 PM] [Velrai GameThread] Zeus bought: ItemName=Armadyl godsword ItemAmount=1 Price=5k
[25 Feb 2022, 6:11:38 PM] [Velrai GameThread] OUREVILSINS offer claimed for: Armadyl godsword Received=5000 blood money
[26 Feb 2022, 1:18:20 PM] [Velrai GameThread] Dank listed: ItemName=Armadyl godsword ItemAmount=1 Price=150k
[10 Mar 2022, 9:19:30 AM] [Revolution GameThread] Optic listed: ItemName=Sanguine scythe of vitur ItemAmount=1 Price=200.000b
[10 Mar 2022, 9:21:42 AM] [Revolution GameThread] Optic listed: ItemName=Donator ticket ItemAmount=1 Price=50m
[10 Mar 2022, 9:22:01 AM] [Revolution GameThread] Optic successfully canceled the offer for: Donator ticket
[10 Mar 2022, 9:22:08 AM] [Revolution GameThread] Optic listed: ItemName=Donator ticket ItemAmount=603500 Price=50m
[10 Mar 2022, 10:21:33 AM] [Revolution GameThread] Optic successfully canceled the offer for: Donator ticket
[13 Mar 2022, 9:20:03 PM] [Revolution GameThread] 420 listed: ItemName=Kerberos pet ItemAmount=1 Price=1
[13 Mar 2022, 9:21:05 PM] [Revolution GameThread] 420 successfully canceled the offer for: Kerberos pet
[13 Mar 2022, 9:21:11 PM] [Revolution GameThread] 420 listed: ItemName=Totemic platelegs ItemAmount=1 Price=1
[13 Mar 2022, 9:21:15 PM] [Revolution GameThread] 420 listed: ItemName=Totemic platebody ItemAmount=1 Price=1
[13 Mar 2022, 9:21:19 PM] [Revolution GameThread] 420 listed: ItemName=Totemic helmet ItemAmount=1 Price=1
[13 Mar 2022, 9:21:30 PM] [Revolution GameThread] 420 listed: ItemName=Sanguine scythe of vitur ItemAmount=1 Price=1
[13 Mar 2022, 9:21:36 PM] [Revolution GameThread] 420 listed: ItemName=Kerberos pet ItemAmount=1 Price=1
[13 Mar 2022, 9:21:50 PM] [Revolution GameThread] 420 listed: ItemName=Donator ticket ItemAmount=301750 Price=1
[13 Mar 2022, 9:22:17 PM] [Revolution GameThread] 420 listed: ItemName=Weapon Mystery Box ItemAmount=5 Price=1
[13 Mar 2022, 9:22:22 PM] [Revolution GameThread] 420 listed: ItemName=Ring of perfection ItemAmount=9 Price=1
[13 Mar 2022, 9:22:32 PM] [Revolution GameThread] 420 listed: ItemName=Talonhawk crossbow ItemAmount=7 Price=1
[13 Mar 2022, 9:22:39 PM] [Revolution GameThread] 420 listed: ItemName=Enchanted armadyl helmet ItemAmount=4 Price=1
[13 Mar 2022, 9:22:45 PM] [Revolution GameThread] 420 listed: ItemName=Armour mystery box ItemAmount=2 Price=1
[13 Mar 2022, 9:22:54 PM] [Revolution GameThread] 420 listed: ItemName=Revenant ether ItemAmount=100000 Price=1
[17 Mar 2022, 2:18:38 PM] [Revolution GameThread] Itsdank2 listed: ItemName=Dragon crossbow ItemAmount=1 Price=500k
[17 Mar 2022, 2:20:03 PM] [Revolution GameThread] Dank bought: ItemName=Dragon crossbow ItemAmount=1 Price=500k
[17 Mar 2022, 2:20:10 PM] [Revolution GameThread] Itsdank2 offer claimed for: Dragon crossbow Received=500000 blood money
[18 Mar 2022, 1:15:42 AM] [Revolution GameThread] Dank successfully canceled the offer for: Armadyl godsword
[18 Mar 2022, 1:15:49 AM] [Revolution GameThread] Dank listed: ItemName=Armadyl godsword ItemAmount=1 Price=150k
[19 Mar 2022, 4:30:51 PM] [Revolution GameThread] 2much listed: ItemName=Sanguine scythe of vitur ItemAmount=1 Price=2000m
[20 Mar 2022, 5:12:10 PM] [Revolution GameThread] 2much successfully canceled the offer for: Sanguine scythe of vitur
[26 Mar 2022, 6:40:25 AM] [Revolution GameThread] Martian listed: ItemName=Dragonfire shield ItemAmount=1 Price=40k
[26 Mar 2022, 6:40:36 AM] [Revolution GameThread] Martian successfully canceled the offer for: Dragonfire shield
[26 Mar 2022, 6:40:46 AM] [Revolution GameThread] Martian listed: ItemName=Dragonfire shield ItemAmount=3 Price=40k
[26 Mar 2022, 6:40:59 AM] [Revolution GameThread] Martian successfully canceled the offer for: Dragonfire shield
[26 Mar 2022, 8:55:03 PM] [Revolution GameThread] Bens listed: ItemName=Bandos godsword ItemAmount=1 Price=40k
[26 Mar 2022, 8:56:31 PM] [Revolution GameThread] Bens successfully canceled the offer for: Bandos godsword
[26 Mar 2022, 8:56:35 PM] [Revolution GameThread] Bens listed: ItemName=Bandos godsword ItemAmount=1 Price=35k
[26 Mar 2022, 8:57:21 PM] [Revolution GameThread] Bens successfully canceled the offer for: Bandos godsword
[27 Mar 2022, 1:40:31 PM] [Revolution GameThread] Itsdank listed: ItemName=Odium ward ItemAmount=1 Price=20k
[27 Mar 2022, 3:14:01 PM] [Revolution GameThread] 2much listed: ItemName=Pet mystery box ItemAmount=1 Price=550k
[27 Mar 2022, 3:16:00 PM] [Revolution GameThread] 2much bought: ItemName=Odium ward ItemAmount=1 Price=20k
[27 Mar 2022, 8:23:03 PM] [Revolution GameThread] Herb listed: ItemName=Bandos godsword ItemAmount=1 Price=40k
[28 Mar 2022, 9:47:23 AM] [Revolution GameThread] Itsdank offer claimed for: Odium ward Received=20000 blood money
[28 Mar 2022, 7:25:10 PM] [Revolution GameThread] Randy listed: ItemName=Dementor pet ItemAmount=1 Price=15m
[28 Mar 2022, 7:25:13 PM] [Revolution GameThread] Randy successfully canceled the offer for: Dementor pet
[28 Mar 2022, 7:25:20 PM] [Revolution GameThread] Randy listed: ItemName=Dementor pet ItemAmount=1 Price=20m
[29 Mar 2022, 3:10:20 AM] [Revolution GameThread] Martian bought: ItemName=Bandos godsword ItemAmount=1 Price=40k
[29 Mar 2022, 2:25:54 PM] [Revolution GameThread] Itsdank listed: ItemName=Imbued heart ItemAmount=1 Price=100k
[29 Mar 2022, 2:26:05 PM] [Revolution GameThread] Itsdank successfully canceled the offer for: Imbued heart
[29 Mar 2022, 2:26:16 PM] [Revolution GameThread] Itsdank listed: ItemName=Imbued heart ItemAmount=1 Price=200k
[29 Mar 2022, 6:04:14 PM] [Revolution GameThread] Randy successfully canceled the offer for: Dementor pet
[29 Mar 2022, 10:24:03 PM] [Revolution GameThread] Im Sorry bought: ItemName=Imbued heart ItemAmount=1 Price=200k
[30 Mar 2022, 9:37:53 AM] [Revolution GameThread] Im Sorry listed: ItemName=Imbued heart ItemAmount=1 Price=500k
[30 Mar 2022, 3:26:50 PM] [Revolution GameThread] Lost bought: ItemName=Pet mystery box ItemAmount=1 Price=550k
[31 Mar 2022, 1:30:37 AM] [Revolution GameThread] Itsdank offer claimed for: Imbued heart Received=200000 blood money
[04 Apr 2022, 11:21:45 PM] [Revolution GameThread] Im Sorry listed: ItemName=Pet mystery box ItemAmount=1 Price=750k
[05 Apr 2022, 4:51:43 PM] [Revolution GameThread] 2much offer claimed for: Pet mystery box Received=550000 blood money
[06 Apr 2022, 4:17:08 PM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Zuriel's hood ItemAmount=1 Price=1.2m
[06 Apr 2022, 4:58:15 PM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Vote ticket ItemAmount=3 Price=350k
[07 Apr 2022, 3:43:06 AM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Vote ticket
[07 Apr 2022, 3:43:11 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Vote ticket ItemAmount=3 Price=200k
[07 Apr 2022, 4:30:55 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Pet mystery box ItemAmount=1 Price=450k
[07 Apr 2022, 10:52:40 AM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Pet mystery box
[07 Apr 2022, 2:50:37 PM] [Revolution GameThread] Herb offer claimed for: Bandos godsword Received=40000 blood money
[07 Apr 2022, 2:51:24 PM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Zuriel's hood
[07 Apr 2022, 2:51:28 PM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Zuriel's hood ItemAmount=1 Price=600k
[07 Apr 2022, 2:53:49 PM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Vote ticket
[08 Apr 2022, 6:50:39 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Donator mystery box ItemAmount=2 Price=375k
