full breakdown is:
Allen 00-25-22-F4-4A-A3 =181,343 bm
Ducky Galore 9C-B6-D0-0D-4C-61 =166,148 bm
Jax 14-F6-D8-B4-68-01 =165,000 bm
Gunny19 00-DB-DF-CE-3E-A2 =165,000 bm
A D O Ss 28-B2-BD-84-E6-2B =164,752 bm
Gloves 6C-4B-90-0F-7A-EA =159,260 bm
Weed 4C-77-CB-99-4F-58 =157,500 bm
FEZZY D8-F3-BC-62-5E-97 =154,343 bm
Jax Lamp 14-F6-D8-B4-68-01 =150,723 bm
Mink 74-4C-A1-AA-D3-7F =148,543 bm
Blast B4-69-21-A8-C2-D0 =145,000 bm
Light In X 00-24-D6-00-D9-BA =141,425 bm
Spikey 00-E0-4C-86-13-AD =140,000 bm
PK 14-F6-D8-EF-32-6A =140,000 bm
Day E8-40-F2-C3-16-2E =131,133 bm
Fart B4-69-21-A8-C2-D0 =123,665 bm
Lap 80-E8-2C-F5-E7-60 =120,073 bm
Cluethis 18-47-3D-F6-82-0B =120,000 bm
Deeznutz F8-89-D2-ED-B3-DB =118,219 bm
Gon 94-DE-80-66-D4-7C =117,250 bm
Hyena DC-A9-71-4E-B1-EB =116,993 bm
Nzt D4-9A-20-57-B6-11 =115,000 bm
Toenail 00-13-EF-F2-5C-79 =113,946 bm
Burton F0-2F-74-33-07-05 =110,000 bm
Compassion 7C-04-D0-D1-00-DC =109,432 bm
Empire 80-91-33-1E-27-23 =107,401 bm
Eyemou EC-2E-98-93-EB-5B =100,362 bm
Zoo 28-B2-BD-84-E6-2B =100,023 bm
Travis AKA 50-81-40-26-4F-DE =100,000 bm
Alfieishere 28-39-26-C3-90-C1 =93,631 bm
You 40-8D-5C-18-D0-D7 =90,000 bm
Tweetmykills 80-2B-F9-84-A0-FB =88,332 bm
Bluntz 2C-F0-5D-E6-2C-5B =85,494 bm
Impling 00-D8-61-E6-E4-97 =82,000 bm
Kyle Rsps 0C-9D-92-79-43-BF =76,335 bm
Finland 00-E9-3A-A3-A8-93 =76,262 bm
Mark D8-BB-C1-5D-D6-1C =75,450 bm
Fenrir 38-B1-DB-AA-51-37 =72,500 bm
Exotic 00-E9-3A-E8-85-6B =69,758 bm
All Alone 44-01-BB-97-3C-C7 =65,000 bm
Viper 10-7B-44-4C-D6-60 =65,000 bm
Gardoss D0-37-45-8F-DD-FF =63,000 bm
BIGGIE CC-3D-82-A1-8A-FB =60,000 bm
Jockey22 D0-37-45-8F-DD-FF =60,000 bm
Poop 60-45-CB-6A-41-90 =51,006 bm
4mia CA-FF-C7-5B-1B-F3 =50,000 bm
Takk 78-2B-46-BD-E9-C6 =48,946 bm
Thewisebirch D8-CB-8A-CB-EB-E8 =46,000 bm
Lanix Nutan 00-25-22-F4-4A-A3 =45,963 bm
Murderator 04-6C-59-99-25-BE =40,050 bm
Left4Dead 08-D4-0C-EC-4F-F5 =35,788 bm
Icecold960 0A-00-27-00-00-13 =34,090 bm
Kitsune 04-0E-3C-32-DB-72 =32,899 bm
Blue D4-1B-81-19-0E-F1 =31,000 bm
Flash A4-34-D9-C7-4E-D5 =30,000 bm
Redrum8734 DC-F5-05-66-71-6D =29,998 bm
Affronted AC-2B-6E-5A-40-24 =27,948 bm
K9k D0-37-45-8F-DD-FF =26,400 bm
Tahr 04-D4-C4-57-4C-02 =24,533 bm
Amaretto 94-53-30-91-05-09 =24,000 bm
Zellthriix 80-B6-55-8A-26-BD =21,924 bm
Insidious D0-37-45-8F-DD-FF =21,700 bm
Avocado A0-40-A0-72-4C-AF =20,000 bm
BakiHanma B8-97-5A-79-B0-FD =20,000 bm
Wise Old Man EC-2E-98-93-EB-5B =18,750 bm
Bnzoo A0-9F-10-BF-B1-09 =17,535 bm
Lanofan 14-F6-D8-18-7A-09 =17,500 bm
Krab 14-5A-FC-35-0E-25 =12,725 bm
Jackson 60-A4-4C-50-D3-EA =9,000 bm
Aerialstunt E8-84-A5-94-8A-E5 =7,500 bm
8 F0-2F-74-15-2E-BF =7,500 bm
Genjee 62-4A-76-48-52-82 =4,850 bm
Grumpy F8-89-D2-ED-B3-DB =4,375 bm
Valkeny 4C-CC-6A-B1-21-92 =3,750 bm
Uto 04-D4-C4-04-47-34 =3,615 bm
Gh0stt 98-8D-46-5C-2B-AA =933 bm
Anonymous 28-B2-BD-84-E6-2B =650 bm
Hapsiainen 98-3B-8F-BC-EC-56 =639 bm
Chadb4 F8-A2-D6-85-E9-5D =626 bm
Chabing 44-37-E6-DF-92-63 =325 bm
Eliazar B8-97-5A-79-B0-FD =304 bm
Janette 4A-FB-8B-A1-BA-7C =303 bm
Cherry 70-85-C2-58-CE-10 =261 bm
Voxxx 20-79-18-99-ED-37 =146 bm
Bree 60-A4-4C-50-D3-EA =58 bm
A D O S 28-B2-BD-84-E6-2B =50 bm
Joe Biden 24-4B-FE-E0-92-83 =50 bm
Harumi 6C-CD-D6-B3-15-27 =42 bm
Alice 2C-FD-A1-93-80-98 =32 bm
Sunom 54-27-1E-8A-77-EE =0 bm
Hugo Chave 80-9B-20-22-16-B4 =0 bm
7 F0-2F-74-15-2E-BF =0 bm
Lunararcane 30-D1-6B-77-50-43 =0 bm
Z C4-85-08-D4-6A-7A =0 bm
Alborian 3C-58-C2-B6-9A-95 =0 bm
Krakatoa 00-0D-3A-C1-32-91 =0 bm
Maxedd invalid =0 bm
PvP 70-85-C2-84-B8-6E =0 bm
Jakk invalid =0 bm
Killzo 2C-FD-A1-6E-82-78 =0 bm
Tom invalid =0 bm
Act 7C-10-C9-3C-7F-F1 =0 bm
Eco 80-2B-F9-84-A0-FB =0 bm
Nick D4-6D-6D-32-65-22 =0 bm
User 9C-DA-3E-B6-21-FA =0 bm
Hugo Chav 80-9B-20-22-16-B4 =0 bm
Env1ed D0-37-45-1F-6D-EE =0 bm
Bigdraco 10-62-E5-6D-98-C6 =0 bm
Too Much 28-B2-BD-84-E6-2B =0 bm
Wicked 18-47-3D-F6-82-0B =0 bm
Kakor1 14-DA-E9-39-DD-77 =0 bm
Chepkamzy 38-F9-D3-AB-FC-2F =0 bm
Pooper 90-61-AE-B4-52-2B =0 bm
Nolifer 00-1E-A6-CB-4C-45 =0 bm
Zill F8-89-D2-BC-9B-27 =0 bm
Death 52-54-00-52-46-08 =0 bm
Goku 30-F7-72-77-A2-A3 =0 bm
Im Him B4-2E-99-ED-0E-87 =0 bm
Lol1 00-13-EF-F5-40-31 =0 bm
Lunararcanee 30-D1-6B-77-50-43 =0 bm
Sog Lol Rsps 00-1A-A0-54-7F-C7 =0 bm
Thereisxp F4-4D-30-50-11-0F =0 bm
F 14-4F-8A-A2-0D-F0 =0 bm
Scotty1 F8-E4-E3-7D-F2-3A =0 bm
Viktor A0-40-A0-72-4C-AF =0 bm
Twichain 2C-F0-5D-2B-39-A4 =0 bm
Lmfao 74-D0-2B-95-18-3C =0 bm
Lol 00-13-EF-F5-40-31 =0 bm
Vote Plug D8-5E-D3-02-5E-F2 =0 bm
Test123123 F0-2F-74-15-2E-BF =0 bm
420 18-5E-0F-BB-45-36 =0 bm
Revolution F0-2F-74-15-2E-BF =0 bm
Mrs Zues B4-2E-99-ED-0E-87 =0 bm
Fghfg A8-A1-59-48-A2-42 =0 bm
Zdrak 2C-F0-5D-0B-40-95 =0 bm
Old Women 7A-79-19-14-39-99 =0 bm
Deeznuts 08-71-90-B5-22-FF =0 bm
Sideburn 94-C6-91-0F-78-19 =0 bm
Tuco 68-17-29-FD-F3-C7 =0 bm
Tweetmykilll 80-2B-F9-84-A0-FB =0 bm
Zdbru 00-50-56-C0-00-02 =0 bm
Mastakief 94-E7-0B-51-68-D2 =0 bm
Monster DC-21-5C-F1-37-D1 =0 bm
Thaddy 98-28-A6-3E-26-23 =0 bm
Crusty Ass AC-D5-64-72-47-6B =0 bm
Drunkinho 80-2B-F9-BF-2C-91 =0 bm
Urikc 0A-00-27-00-00-0A =0 bm
Dettamia C8-FF-28-5B-4A-51 =0 bm
Dank1 94-C6-91-0F-78-19 =0 bm
Ingmarmario2 A8-A1-59-27-CA-4A =0 bm
Tyskie 28-39-26-AD-C0-6B =0 bm
Allen043 00-25-22-F4-4A-A3 =0 bm
Dr Carter 7C-B2-7D-F0-3A-F2 =0 bm
Looy69 00-13-EF-F5-40-31 =0 bm
Bokito E0-D5-5E-AA-D5-38 =0 bm
2 14-4F-8A-A2-0D-F0 =0 bm
HOOYAA 48-5B-39-53-95-3A =0 bm
Godly 70-85-C2-84-B8-6E =0 bm
10 F0-2F-74-15-2E-BF =0 bm
Hugo Chavez 80-9B-20-22-16-B4 =0 bm
Raids 70-85-C2-84-B8-6E =0 bm
Vial 70-85-C2-84-B8-6E =0 bm
Ingmarmario A8-A1-59-27-CA-4A =0 bm
Kage 00-22-4D-54-D2-7C =0 bm
Swaggyp EC-2E-98-4D-9D-67 =0 bm
Maxed invalid =0 bm
Mikeapvp D8-9C-67-41-F6-89 =0 bm
Lookoutordie E8-2A-44-AF-3F-1D =0 bm
Diddumz A8-A1-59-6F-40-65 =0 bm
Dank11 94-C6-91-0F-78-19 =0 bm
Bens Likes D D8-5E-D3-02-5E-F2 =0 bm
Loot 00-13-EF-F5-40-31 =0 bm
Old Man 7A-79-19-14-39-99 =0 bm
G 14-4F-8A-A2-0D-F0 =0 bm
Darkzealot B0-7D-64-B5-9C-DF =0 bm
Enjoy B4-AE-2B-C2-D1-9D =0 bm
Devyn 28-39-26-19-CE-4B =0 bm
Rainbow 70-CD-0D-B4-85-FC =0 bm
Togler 04-D9-F5-79-D3-AD =0 bm
Freewill 00-1D-09-7B-C1-FC =0 bm
Jay invalid =0 bm
Moneybank C0-25-E9-CC-D9-91 =0 bm
Crashed 18-26-49-3F-A7-91 =0 bm
DPR 9C-B6-D0-D4-FE-B9 =0 bm
Slaykiller D8-F3-BC-62-5E-97 =0 bm
Test123 94-C6-91-0F-78-19 =0 bm
3 F0-2F-74-15-2E-BF =0 bm
Daux F0-2F-74-4E-49-76 =0 bm
Rag 14-4F-8A-A2-0D-F0 =0 bm
Satan 5C-FF-35-E2-D1-6F =0 bm
Vanilaboy BC-54-2F-70-5B-20 =0 bm
Zhaza EC-F4-BB-6B-49-36 =0 bm
Aleeex 70-85-C2-D8-40-E9 =0 bm
Gl O Nvm Gf 80-2B-F9-84-A0-FB =0 bm
JP 04-D4-C4-56-B9-57 =0 bm
Chabz 98-28-A6-07-A7-1B =0 bm
Wot 70-85-C2-84-B8-6E =0 bm
Swordsman11 94-C6-91-0F-78-19 =0 bm
IDeluxee 80-B6-55-8A-26-BD =0 bm
Sin 9C-30-5B-AD-2C-79 =0 bm
Its 94-C6-91-0F-78-19 =0 bm
Solijahx F8-89-D2-ED-B3-DB =0 bm
Vin EC-2E-98-14-D5-67 =0 bm
Bagh 90-F6-52-09-46-A0 =0 bm
Loot69 00-13-EF-F5-40-31 =0 bm
JJ 04-D4-C4-56-B9-57 =0 bm
Simp 14-4F-8A-A2-0D-F0 =0 bm
Sollarix B8-85-84-B6-54-5D =0 bm
Wilderness 64-27-37-32-E0-47 =0 bm
Bens Sucks D8-5E-D3-02-5E-F2 =0 bm
Thomas F0-2F-74-15-2E-BF =0 bm
Eric 2C-F0-5D-A0-73-4B =0 bm
Hoe D8-C4-97-86-2E-C1 =0 bm
Stasis B4-2E-99-CE-0E-7B =0 bm
Ex 70-85-C2-84-B8-6E =0 bm
Infinity A8-A1-59-38-27-CC =0 bm
Pan B4-2E-99-ED-BF-6E =0 bm
Test 1C-69-7A-38-BE-94 =0 bm
Chefpkmzy 38-F9-D3-AB-FC-2F =0 bm
Itchy invalid =0 bm
Off A Bean 14-4F-8A-A2-0D-F0 =0 bm
Winter A8-A1-59-03-AC-A3 =0 bm
Pejok D8-CB-8A-73-3A-A3 =0 bm
Rianbow 70-CD-0D-B4-85-FC =0 bm
Ragbot 14-4F-8A-A2-0D-F0 =0 bm
Itsdankiron 94-C6-91-0F-78-19 =0 bm
Atro D8-BB-C1-18-E4-27 =0 bm
DuckyGalore 9C-B6-D0-0D-4C-61 =0 bm
Hans 28-B2-BD-84-E6-2B =0 bm
Bag 90-F6-52-09-46-A0 =0 bm
Xmark A8-A1-59-48-A2-42 =0 bm
Itchyfun invalid =0 bm
Erik123 34-97-F6-A2-9E-49 =0 bm
Annonymous 28-B2-BD-84-E6-2B =0 bm
5 F0-2F-74-15-2E-BF =0 bm
Djer 98-EE-CB-67-0D-0B =0 bm
Secret Agent 48-D7-05-E0-CC-6D =0 bm
Qi 04-D4-C4-64-46-F7 =0 bm
Rigzly 00-E9-3A-A3-A8-93 =0 bm
IHaveAids 44-A5-6E-52-14-A5 =0 bm
Bonsly B0-5C-DA-F6-C7-97 =0 bm
Fish 14-4F-8A-A2-0D-F0 =0 bm
Boot 4C-0F-6E-D5-25-7B =0 bm
Optic Killz D8-F3-BC-62-5E-97 =0 bm
Daddy 14-4F-8A-A2-0D-F0 =0 bm
Law 70-85-C2-58-CE-10 =0 bm
Lunararcann 30-D1-6B-77-50-43 =0 bm
Amarett 94-53-30-91-05-09 =0 bm
HELLO 94-C6-91-0F-78-19 =0 bm
Joker 14-5A-FC-35-0E-25 =0 bm
King Cryo 50-C2-E8-9A-89-79 =0 bm
Joe Rogan F4-06-69-4C-FA-F9 =0 bm
Lanors 94-C6-91-0F-78-19 =0 bm
PvM 70-85-C2-84-B8-6E =0 bm
B F0-2F-74-15-2E-BF =0 bm
Cheats C0-E4-34-D3-FB-6B =0 bm
1 F0-2F-74-15-2E-BF =0 bm
Sako 18-C0-4D-37-00-7A =0 bm
4 F0-2F-74-15-2E-BF =0 bm
Sneeuwwietje 94-DB-C9-B7-F1-AE =0 bm
6 F0-2F-74-15-2E-BF =0 bm
Gambler 0A-00-27-00-00-13 =0 bm
Jigglytids 80-2B-F9-B5-A8-99 =0 bm
Im It 28-B2-BD-84-E6-2B =0 bm
Hertos4 C8-21-58-69-AB-3B =0 bm
Dxu 84-EF-18-71-4C-7E =0 bm
Zeu4 98-EE-CB-67-0D-0B =0 bm
Kyle9248 00-D8-61-0D-AF-07 =0 bm
Ice 9C-5C-8E-51-CB-6E =0 bm
Gotta Chode 58-6C-25-3B-71-B7 =0 bm
Torvape FC-44-82-CB-0C-28 =0 bm
